Name,Description,Campus,Research Categories,Citizenship Req,Preferred Major,School/Dept,Professor,More Info
Development of a controlled-release nanocarrier formulation against opioid exposure,"A majority of the drug overdose fatalities in the United States are due to synthetic opioids such as fentanyl and heroin. There is at present only one FDA-approved treatment for opioid overdose: naloxone, an opioid receptor antagonist currently marketed as a nasal spray or as an intramuscular injection. The low half-life of naloxone in the body significantly limits the therapeutic windows of these formulations, particularly against long-lasting synthetic opioids such as fentanyl. This in turn necessitates multiple consecutive doses of naloxone per patient over a sustained period of time, which leads to undesirable side effects and is logistically more difficult than a single-dose treatment would be. The goal of this proposal is to demonstrate a sustained-release respiratory (nasal or pulmonary) naloxone nanocarrier formulation with a protective therapeutic window longer than the existing marketed intranasal formulation. The student will develop nanocarrier formulations and evaluate their stability, naloxone encapsulation efficiency, and in vitro naloxone release kinetics that will inform future work with collaborators to evaluate efficacy in vivo.",West Lafayette,Nanotechnology,No citizenship requirements,No Major Restriction,Department of Agricultural and Biological Engineering,Kurt Ristroph,https://www.ristrophlab.com/
Digital Twin and Sensing Integration for Smart Workzone,"The key goal of this smart workzone project is to integrate intrusion detection sensors and digital twin to (a) improve safety for drivers, pedestrians, and other road users on urban streets and highways; and (b) provide a safe and efficient working environment for roadway maintenance workers by collecting real-time data focusing on Intelligent, Sensor-Based Infrastructure, and Systems Integration technology areas.",West Lafayette,"Big Data/Machine Learning, Deep Learning, Human Factors, Internet of Things (IoT)",No citizenship requirements,No Major Restriction,Lyles School of Civil and Construction Engineering,Sogand Hasanzadeh,N/A
Digital twins and Industrial robots for smart manufacturing,The project is for development of deep learning models for remote operation of industrial and collaborative robots in the digital environment.,West Lafayette,"Deep Learning, Internet of Things (IoT)",No citizenship requirements,Mechanical Engineering Computer Engineering,School of Mechanical Engineering,Martin Jun,N/A
Dont bother the driver: Sensor-scheduling for cognitive state estimation during automated driving.,"During safety-critical human-automation interactions such as automated driving, knowledge of cognitive states such as the driver?? trust in the automation can help prevent automation misuse (over-reliance). However, unlike estimating the speed of a car, estimating a human?? cognitive state is not straightforward; it needs to be inferred from their behavior (usage of automation, eye-gaze), involuntary physiological responses (heart-rate), and what they self-report (to questions like ??ow much do you trust the automation???. Unlike recording data-streams from sensors such as a heart-rate monitor, it is not reasonable to ask the user to report their trust too frequently. The goal of this project is to enable development and testing of algorithms that schedule solicitation of self-reports only when absolutely required to reduce uncertainty in cognitive state estimates. The student will gain experience in: - Driving simulation for human-centric research - Conducting human subject experiments - State estimation algorithms",West Lafayette,"Big Data/Machine Learning, Human Factors, Other",No citizenship requirements,Electrical Engineering Computer Science Game Development and Design,School of Mechanical Engineering,Neera Jain,N/A
Efficient and sustainable water technology,"Water and energy are tightly linked resources that must both become renewable for a successful future.  However, today, water and energy resources are often in conflict with one another, especially related to impacts on electric grids. Further, advances in nanotechnology, material science and artificial intelligence allow for new avenues to improve the widespread implementation of desalination and water purification technology. Our lab?? project aims to explore nanofabricated membranes, light-driven reactions, artificial intelligence control algorithms, and thermodynamic optimization of systems. Our projects include hybrids of reverse osmosis desalination with renewable energy (solar, wind, and hydro), as well as other topics such as filtration, water treatment, and water vapor harvesting. The student(s) will be responsible for fabricating membranes, building hydraulic systems, modeling thermal fluid phenomenon, analyzing data, and/or implementing control strategies in novel system configurations. The lab also works on separation processes for water in air, including HVAC dehumidification and removing aerosols. More information here: www.warsinger.com All students will be required to read relevant, peer-reviewed literature and keep a notebook or log of weekly research progress. At the end of the semester or term, each student will present a talk or poster on their results. Student efforts will contribute data, graphics, and efforts towards scientific publications.",West Lafayette,"Energy and Environment, Engineering the Built Environment, Environmental Characterization, Fluid Modelling and Simulation, Material Modeling and Simulation, Material Processing and Characterization, Nanotechnology, Thermal Technology",No citizenship requirements,Mechanical Engineering Civil Engineering Environmental and Ecological Engineering Materials Engineering Chemical Engineering Chemistry,School of Mechanical Engineering,David Warsinger,www.warsinger.com
Energy-Efficient Compute-In-Memory AI Chips: Algorithm-Hardware Co-Design and System Demonstrators,"I. Project Vision and Background: The rapid growth of artificial intelligence (AI), especially Large Language Models (LLMs) like GPT, is revolutionizing the way people work, learn, communicate, and access healthcare. Due to the complexity of AI workloads and the limitations of today?? semiconductor hardware, computing with powerful LLMs incurs enormous energy costs and generates significant carbon footprints. This project will develop a holistic computing solution to provide reliable, private, and energy-efficient computing capabilities directly to end users??devices, thereby democratizing access to advanced AI for broader society. Our team is synergizing semiconductor material advancements with novel chip designs and algorithms, to create a new computing platform that will run AI workloads more efficiently than existing silicon-based platforms. II. SURF Student's role in the project: - The SURF researcher will be mentored by faculty and graduate students to study, investigate, identify, and explore new algorithm-hardware co-design opportunities for the new AI hardware platform under development by the team. - Develop and iterate new application-specific, system-level demonstrators using the software artifacts and hardware prototypes that the team generated so far. - Connect software and hardware demos to broader, interesting real-world applications. - Software/hardware ""integrated live demo"", using FPGA-PCB test boards. - Document research results with a target for IEEE/ACM conference publications (student's travel will be sponsored by the faculty).",West Lafayette,"Big Data/Machine Learning, Computer Architecture, Deep Learning, Heterogeneous Integration, Internet of Things (IoT), Microelectronics, Mobile Computing, Nanotechnology, System-on-a-Chip",N/A,No Major Restriction,Elmore Family School of Electrical and Computer Engineering,Haitong Li,https://engineering.purdue.edu/NanoX/research/
Engineer a synthetic neuron using a bottom-up approach,"Neurons convert biochemical information (through binding of a neurotransmitter) to electrical signal (via action potential) and back to biochemical signal (through the release of neurotransmitters). These distinct and separable processes can be reconstituted in a synthetic neuron by using natural and engineered proteins, and a synthetic neuron platform can be used to understand the rules governing the emergence of the present morphology of a neuron and the architecture of the neuronal system. This project thus aims to construct a synthetic neuron with a modular design and a programmable synthetic neuronal network capable of recapitulating basic functions of a natural neuronal system (e.g., action potential, synaptic communication, and basic computation) and with a long-term vision of incorporating more advanced computation and potentiation.",West Lafayette,"Biological Characterization and Imaging, Biotechnology Data Insights, Cellular Biology, Genetics",No citizenship requirements,Chemical Engineering Neurobiology and Physiology Biological Engineering - multiple concentrations,Davidson School of Chemical Engineering,Chongli Yuan,https://cyuangroup.com/
Engineering Materials for Thermal Transport for Semiconductor Packaging,"Does your phone or laptop ever get too hot to touch? Within electronic devices, heat generated by the components doing calculations must be dissipated to through the electronics package to the environment to prevent failure and to protect the users. This project focuses on engineering materials with either high thermal conductivity to effectively dissipate the heat or extremely low thermal conductivity to isolate and protect delicate components in the system (or combinations of material properties that enable routing of heat within the system). A combination of experimental property measurements, microstructural analysis, and performance tests will help identify routes to achieve better performance.  Students in this project will fabricate new materials, measure their thermal properties, analyze their microstructures, integrate them into electronic packages, and/or test their thermal performance. Note that multiple students may contribute to the project in collaboration with graduate student mentoring.",West Lafayette,"Advanced Packaging, Energy and Environment, Heterogeneous Integration, Material Processing and Characterization, Microelectronics, Thermal Technology",No citizenship requirements,No Major Restriction,School of Mechanical Engineering,Amy Marconnet,https://engineering.purdue.edu/MTEC
Environmental Impact Assessment of Noise Generated During Offshore Wind Foundation Installation,"Monopile foundations for offshore wind turbines are typically installed with large hydraulic hammers, generating very loud sounds that propagate through the ocean via the water and seafloor. This noise is known to induce behavioral change and (in some cases) auditory injury in marine animals up to 50 km away, including whales and other cetaceans that communicate at low frequencies. Our multidisciplinary research team is developing a new noise control technology for monopile foundation installation that combines active and passive noise abatement technologies. Lab-scale experiments show that our novel technology has the technical potential to reduce noise by an order of magnitude or more compared to state-of-the-art commercial solutions. If successfully scaled up and commercialized, this technology could reduce noise-related risks for ocean wildlife near offshore wind development sites. In this SURF project, the student researcher will collaborate in a research team that spans four engineering departments at Purdue (Mechanical Engineering, Civil & Construction Engineering, Materials Science and Engineering, and Environmental & Ecological Engineering). This specific SURF opportunity is for a member of our Environmental Impact Assessment research sub-team. Under the guidance of faculty and graduate student research mentors, the SURF student will perform a holistic environmental impact assessment of the noises generated during pile-driving of monopile wind turbine foundations, and will assess the potential for these impacts to be mitigated through noise-abatement technologies (commercially available and our novel solution). This project will involve the use of environmental life cycle assessment (LCA) and other impact assessment techniques. Previous coursework or exposure to LCA or carbon accounting would be helpful but is not required. The successful applicant will have a relevant engineering background combined with clearly expressed interest in environmental sustainability, renewable energy, biodiversity, and/or ocean ecosystems.",West Lafayette,"Ecology and Sustainability, Energy and Environment, Environmental Characterization",No citizenship requirements,No Major Restriction,School of Mechanical Engineering,Heather Liddell,N/A
Event-based SLAM and Navigation for Legged Robots,"The project explores using event cameras in simultaneous localization and mapping austere, unstructured environments. Event cameras are different from conventional RGB cameras in how they capture information. Using the event-based approach, we will create neuromorphic algorithms to do SLAM and path planning for the navigation of a legged robot.",West Lafayette,"Computer Architecture, Deep Learning, Fabrication and Robotics, Mobile Computing",No citizenship requirements,No Major Restriction Computer Engineering Computer Science Mechanical Engineering Electrical Engineering,Department of Agricultural and Biological Engineering,Upinder Kaur,N/A
Gradual Verification: Software Assurance Incrementally,"Description and Significance: Software verification is the process of ensuring that a piece of software does what it is intended to do (i.e., ensuring the code adheres to its specification). Software verification is important for all software systems, but particularly so, for critical systems such as control systems for aircraft and nuclear power plants. However, static verification---the technique often applied to such systems---cannot support incrementality. It involves writing detailed specifications (often in a formal logic) on system components, such as pre- and postconditions for functions. To prove that a function adheres to its postcondition (e.g. that a findMax function returns the maximal element of a list), tools demand many additional specifications. Worse even, is that a single specification cannot be checked for correctness without providing all the required specifications. The idea of Gradual verification [1,2,3,4] was introduced to solve this problem and make static verification more useful in practice. Gradual verification supports the incremental specification and verification of programs through the sound and principled application of static (at compile-time) and dynamic (at run-time) techniques---static techniques are applied where possible and dynamic ones where necessary. As a result, a gradual verifier allows developers to pick and choose which properties and components of their system to specify without any unnecessary effort and receive immediate verification feedback. Since the introduction of gradual verification [1], we have extended the approach to support more practical programs, such as those containing recursive heap data structures (trees, graphs, lists, etc.) [2,3,4]. Student Involvement: Students who work with me this summer will have the opportunity to work on a gradual verification project of their choosing. I have several interesting new projects for gradual verification that involve theory, building tools, and/or studying human behavior. For example, I am interested in how machine learning and large language models can be used to generate specifications supported by gradual verification. I am also interested in building a gradual verifier for the C programming language and exploring the educational impact of gradual verification through user studies. See the projects page on my website for detailed project information: https://jennalwise.github.io/projects/. Each of these endeavors will allow students to gain experience with programming language design, software development, theory, formal reasoning, logic, and empirical studies. Additionally, my goal is for students who work with me this summer to present and/or publish their work at conferences (as many of my students have done in the past). [1] Johannes Bader, Jonathan Aldrich, and ?ric Tanter. ""Gradual Program Verification."" In International Conference on Verification, Model Checking, and Abstract Interpretation, pp. 25-46. Springer, Cham, 2018. [2] Jenna Wise, Johannes Bader, Cameron Wong, Jonathan Aldrich, ?ric Tanter, and Joshua Sunshine. ""Gradual verification of recursive heap data structures."" Proceedings of the ACM on Programming Languages 4, no. OOPSLA (2020): 1-28. [3] Jenna DiVincenzo, Ian McCormack, Hemant Gouni, Jacob Gorenburg, Mona Zhang, Conrad Zimmerman, Joshua Sunshine, ?ric Tanter, and Jonathan Aldrich. ""Gradual C0: Symbolic Execution for Efficient Gradual Verification."" arXiv preprint arXiv:2210.02428 (2022). [4] Conrad Zimmerman, Jenna DiVincenzo, and Jonathan Aldrich. ""Sound Gradual Verification with Symbolic Execution."" Proceedings of the ACM on Programming Languages 8, no. POPL (2024): 2547-2576.",West Lafayette,"Cybersecurity, Human Factors, Other",No citizenship requirements,Computer Science Computer Engineering Mathematics - Computer Science,Elmore Family School of Electrical and Computer Engineering,Jenna DiVincenzo,https://jennalwise.github.io/projects/
Great Lakes Remote Sensing: Satellite Characterization of Coastal Changes and Processes,"This NASA-funded project aims to leverage high-resolution ""SmallSat"" sensing platforms to quantify coastal changes and dynamics in the Great Lakes.  Students will work with satellite imagery to quantify coastal changes in the Great Lakes that result from hydrodynamic and hydrologic conditions.  Work will involve work with GIS, python scripting, and actual field visits to coastal sites for environmental characterization.  Students will also gain exposure to other Great Lakes research in the Troy Lab, including marine robotics, hydrodynamic modelling, water quality measurements, and lots more.",West Lafayette,"Big Data/Machine Learning, Deep Learning, Ecology and Sustainability, Energy and Environment, Engineering the Built Environment, Environmental Characterization, Other",No citizenship requirements,No Major Restriction Civil Engineering Aeronautical and Astronautical Engineering Mechanical Engineering Agricultural Engineering Environmental and Ecological Engineering,Lyles School of Civil Engineering,Cary Troy,https://troylabpurdue.org/ 
Here is the twist: fabricating van der Waals heterostructures with precise angle alignment,"When stacking two atomically-thin materials onto each other, a simple twist between the lattice alignment can make a big difference. The long-wavelength moir? superlattice potential can significantly modify the electronic structure of the individual layers, and create highly tunable ""flat bands"" which can give rise to exotic states of matter such as magnetism, superconductivity, and topological non-trivial states. With the help of scanning tunneling microscopy (STM), one can study these exciting electronic and magnetic states of matter with atomic precision. In this project, the student will assist with the fabrication of twisted bilayer graphene and transition metal dichalcogenides for STM characterization. If successful, the student will also have the opportunity to learn about advanced electron microscopy with STM.",West Lafayette,"Material Processing and Characterization, Microelectronics, Nanotechnology",No citizenship requirements,Physics Electrical Engineering Materials Engineering,Physics and Astronomy,Tiancong Zhu,https://sites.google.com/view/zhulab/home
High Performance Concrete from Hydrogel-Based Superabsorbent Materials,"Concrete that is internally cured by water-swollen superabsorbent polymer (SAP) particles has improved strength and durability. This project will investigate new SAP formulations that have increased absorption capacity in a wider variety of low-carbon concrete materials. The student will conduct swelling tests and optical microscopy of the SAP particles and then perform optical microscopy and mechanical measurements of the SAP-cured concrete. Improvements in concrete strength and durability is a step towards reducing the carbon footprint of our civil infrastructure materials, as production of new cement results in 7-9% of the global CO2 emissions each year.",West Lafayette,"Composite Materials and Alloys, Material Processing and Characterization",No citizenship requirements,No Major Restriction,Materials Engineering,Kendra Erk,https://soft-material-mechanics.squarespace.com/home/ 
Home-based heat therapy in older adults with type 2 diabetes,"Our research project focuses on developing non-invasive, practical therapies to improve glycemic control, vascular function, and physical function in older adults with type 2 diabetes (T2D), who are at elevated risk for cardiovascular disease and disability. Current therapeutic options, such as exercise, are underutilized by this population due to poor adherence. Therefore, we are exploring the potential of home-based heat therapy as a novel approach. Heat therapy has shown promise in improving metabolic health, blood glucose regulation, and skeletal muscle function in both animal models and humans. In this project, we aim to establish the feasibility, safety, and efficacy of 12 weeks of home-based leg heat therapy using water-circulating trousers in older adults with T2D. Participants will be randomized to either the heat therapy group (90 minutes daily at 42?C) or a sham control group (33?C). We will evaluate compliance, blood glucose regulation (HbA1c, insulin sensitivity), body composition, leg strength, and physical function. Additionally, we will assess endothelial function using flow-mediated dilation (FMD) of the popliteal artery. Endothelial dysfunction is an early indicator of atherosclerosis and is strongly correlated with cardiovascular risk factors, including T2D. This project offers undergraduate students the opportunity to contribute to cutting-edge research related to cardiovascular disease and diabetes, gain hands-on experience with clinical assessments, and work alongside a multidisciplinary team. The findings from this pilot study will provide critical insights into the therapeutic potential of HT and support future larger-scale trials aimed at improving health outcomes for older adults with T2D.",West Lafayette,"Cardiovascular Disease Research, Medical Science and Technology",No citizenship requirements,No Major Restriction,Health and Kinesiology,Bruno Tesini Roseguini,https://hhs.purdue.edu/directory/bruno-roseguini/
How does the assembly of PFAS affect its transport in soil,"Per- and polyfluoroalkyl substances (PFAS) continue to present a management challenge, particularly at locations where aqueous film-forming foams (AFFFs) were used heavily. To improve the long-term management of AFFF-impacted sites, it is critical to understand the role of PFAS self-assembly in the source zones and the factors that impact this self-assembly on the long-term release and transport of PFAS to groundwater. This project aims to evaluate relevant environmental factors such as PFAS concentration and type, hydrocarbon co-surfactants, ionic matrix, and soil chemical/physical properties that affect the formation and stability of supramolecular systems within AFFF-source zones. We aim to understand the self-assembly of PFAS mixtures in solution and at the air/water and water/soil interfaces in the presence of hydrocarbon co-surfactants, co-solvents, and inorganic ions during wetting and drying cycles. We are seeking a highly motivated undergraduate student to work on this project. The primary responsibilities of the student will be to characterize the PFAS assembly in solution and surfaces using dynamic light scattering, tensiometry, and optical microscopy. Students with a background in chemistry, physics, environmental science/engineering, and chemical engineering are well-suited to work on the project. MSE students with a strong interest in solving environmental issues are also encouraged.",West Lafayette,"Ecology and Sustainability, Environmental Characterization, Fluid Modelling and Simulation, Other",No citizenship requirements,Chemistry Physics Materials Engineering Chemical Engineering,School of Materials Engineering,Carlos Martinez,N/A
Human Body Communication IC & System Design,The students will work on developing state-of-the-art systems to characterize and do research on and demonstrate communication and powering capabilities using human body.,West Lafayette,"Human Factors, Internet of Things (IoT), Medical Science and Technology, Microelectronics",No citizenship requirements,Electrical Engineering Computer Engineering,Elmore Family School of Electrical and Computer Engineering,Shreyas Sen,https://www.youtube.com/watch?v=fRfdrkzlCwI
Identification of ligands for TetR repressors of natural product biosynthetic gene clusters,We are identifying ligands for bioinformatically predicted repressors of natural product biosynthetic gene clusters. The student will develop GFP-plasmids for the study of the repressors and potential ligands,West Lafayette,Other,No citizenship requirements,No Major Restriction,Chemistry,Betsy Parkinson,N/A
Identifying novel drugs for the treatment of spinal cord injuries,"Spinal cord injury (SCI) is a significant health problem affecting over 250,000 people in the USA. There are no effective treatments that enable full recovery of lost functions. The goal of this project will be to use zebrafish larvae to identify FDA-approved drugs that improve functional recovery and axonal regeneration after SCI. The project has two major goals: 1. Validation of drug candidates identified in our previous research. 2. Continuation of the drug library screen to identify additional drugs. The SURF student will learn how to perform injuries, drug treatments, behavioral assay, immunolabeling, and imaging. We expect to identify novel compounds that ultimately could be used to treat human SCI patients.",West Lafayette,"Cellular Biology, Medical Science and Technology",No citizenship requirements,Biology Neurobiology and Physiology Cell Molecular and Developmental Biology Biomedical Engineering Biochemistry,Biological Sciences,Daniel Suter,https://suterlab.bio.purdue.edu/
Imaging and Machine Learning of Defects in Semiconductors,"The student will work on using x-ray imaging to detect defects in through silicon vias (TSVs) and other times of interconnect in 3D heterogeneously integrated packages. Analysis of the data, using machine learning algorithms, will be conducted to accurately and efficiently identify defects in advanced packages.",West Lafayette,"Advanced Packaging, Big Data/Machine Learning",No citizenship requirements,Materials Engineering Mechanical Engineering Computer Engineering,School of Materials Engineering,Nik Chawla,N/A
Improving intelligent tutoring system responsivity to humans through haptic feedback,"We are looking for an undergraduate researcher to support development of a cognitively-aware intelligent tutoring system (ITS) for a psychomotor task by incorporating haptic feedback. The psychomotor task is learning how to land a quadrotor manually in a 2D quadrotor simulator module. The student will gain experience in the following areas: - Sensor fusion - Synthesizing optimal control policies or algorithms that assist humans by responding to human behavior - Improving generated feedback to assist in human learning This project requires experience with Python and MATLAB. While not required, prior experience with psycho-physiological/behavioral sensors (E.g. fNIRS, ECG, eye gaze tracking) would be beneficial.",West Lafayette,"Big Data/Machine Learning, Human Factors, Other",No citizenship requirements,Computer Science Mechanical Engineering Electrical Engineering Industrial Engineering Aeronautical and Astronautical Engineering,School of Mechanical Engineering,Neera Jain,https://engineering.purdue.edu/JainResearchLab/
Improving small molecule drug oral dissolution kinetics via drug-polymer salts,"The poor water solubility of many small-molecule drugs restricts their use as therapeutics because these molecules exhibit low oral bioavailability when taken by mouth. This project will explore the preparation of amorphous drug-polymer salts (ADPS) formed from ionic interactions between weakly basic drugs and polyanionic polymers as a strategy to reduce drug crystallinity and improve oral dissolution kinetics. An emphasis will be placed on process development, material characterization, and continuous production of ADPS.",West Lafayette,Material Processing and Characterization,No citizenship requirements,No Major Restriction,Department of Agricultural and Biological Engineering,Kurt Ristroph,https://www.ristrophlab.com/
In vitro MRI phantoms for MRI data harmonization,"Four-dimensional Flow Magnetic Resonance Imaging (4D flow MRI) is an emerging non-invasive tool for measuring blood flow in the cardiovascular system. It provides velocity measurements that can be processed to quantify secondary flow aspects such as pressure and wall shear stress. Understanding these aspects is crucial for studying the progression of various cardiovascular diseases. However, its implementation across different MRI vendors poses a challenge due to intervendor differences in image resolution and signal-to-noise ratio (SNR), hindering longitudinal analysis. Data harmonization of MRI measurements can help overcome this limitation, enabling intervendor comparison and analysis of 4D flow MRI data. Selected student will contribute to a multidisciplinary project focused on developing flow phantoms for installation into flow loops. These phantoms will be imaged during the development of a data harmonization method. The goal is to create phantoms that are usable both in MRI and in benchtop flow loops for particle image velocimetry (PIV), a flow visualization method that can validate the MRI results. Selected student will gain research skills in multiple research areas related to experiment design, model fabrication, experimental fluid mechanics, and non-invasive medical imaging.",West Lafayette,"Cardiovascular Disease Research, Fluid Modelling and Simulation, Medical Science and Technology, Other",No citizenship requirements,Biomedical Engineering Mechanical Engineering,School of Mechanical Engineering,Pavlos Vlachos,https://vlachosresearch.org
Indirect Water Reuse: Understanding How Drinking Water is Affected by Upstream Activities,"When we release treated wastewater into a river, we are indirectly affecting the drinking water intake downstream. For many emerging water quality constituents, including PFAS and antibiotic resistance genes, we do not yet understand their transport through our natural water systems. In this project, we will explore these dynamics, pairing water quality analysis with watershed modeling. The student will assist graduate students with validating biological and analytical chemistry methods to quantify how indirect water reuse may affect drinking water quality and exposures. This project will require collaboration across environmental and ecological engineering, environmental and natural resources engineering, agricultural and biological engineering, and agronomy.",West Lafayette,"Biological Characterization and Imaging, Ecology and Sustainability, Engineering the Built Environment, Environmental Characterization, Fluid Modelling and Simulation",N/A,No Major Restriction,Division of Environmental and Ecological Engineering,Caitlin Proctor,N/A
Injectable biomaterials for cardiac tissue engineering applications,"Reinforcement of the myocardial wall with biomaterials can attenuate left-ventricular wall thinning and preserve cardiac function after myocardial infarction. However, introducing biomaterials into the myocardial wall is a critical challenge, since most naturally-derived and synthetic biomaterials are incompatible with delivery devices such as catheters. Similarly, injectable biomaterials including hydrogels and infusible grafts can disperse away after injection, reducing their protective and reparative effects. The goal of this project is to develop shear-thinning and self-healing biomaterials that are easy to inject, have suitable mechanical properties to support their retention at the site of injury, and have a porous structure to promote cell and tissue ingrowth during repair. Leveraging the current expertise in the Qazi lab, the student will use flow-focusing droplet-microfluidics and a photocurable polymer to develop injectable hydrogels. Mechanical properties will be controlled by varying crosslinker ratio, polymer concentration, and will be characterized using a dynamic mechanical analyzer. Hydrogel microparticles will be fabricated using a water-in-oil microfluidics device with downstream exposure to UV light. The particles will be assembled into injectable hydrogels via packing at high centrifugation speeds. Oscillatory shear rheology will be used to characterize shear-thinning and self-healing properties. Confocal microscopy will be used to characterize structural features such as porosity and inter-particle pore size. Cells will be mixed with granular hydrogels and injected into a custom-made mold to investigate cell adhesion, proliferation, and differentiation. Cells will be fixed and stained with markers for cytoskeletal proteins. Proliferation will be quantitatively characterized using metabolic assays. This project will result in injectable hydrogels with rigorously characterized mechanical, biophysical, and cell-instructive properties for applications in cardiac tissue engineering.",West Lafayette,Cardiovascular Disease Research,No citizenship requirements,No Major Restriction,Weldon School of Biomedical Engineering,Taimoor Qazi,https://engineering.purdue.edu/BME/People/ptProfile?resource_id=273232
Integrated Biochemical and Physicochemical Processes to Recover Critical Metals from Municipal Solid Waste in Landfills,"In the United States, landfills containing municipal solid waste (MSW) represent a large repository of critical metals, particularly originating from discarded electronic waste (e-waste). To date, no known technologies have successfully recovered critical metals from landfills, which is uniquely challenged by the inability to directly access deposited materials. Landfill leachates present an opportunity to capture critical metals from the aqueous stream.  This SURF project will support a larger, integrated effort by addressing these specific research objectives: i) characterize the currently unknown critical metal content in existing US landfill leachates, and ii) elucidate the complex chemistry of metals in landfill leachates. No known studies have reported valued metal concentrations beyond those of heavy metals , ,  in US landfill leachates. Additionally, metal speciation is highly dynamic, since the landfill redox, pH, and ligand composition change over time as they mature and MSW undergoes biological, chemical, and physical transformations. The lack of knowledge of chemical speciation of each metal is a critical technical gap that will inhibit separation and recovery efforts. The SURF student will work with graduate student and faculty mentors on the following objectives and tasks: Elemental analysis: landfill leachate samples will be processed (including microwave assisted digestion) and elements will be detected and quantified with Inductively Coupled Plasma ??Optical Emission Spectroscopy (ICP-OES). Water quality parameters: Total organic and inorganic carbon (HCO3- and CO32-) will be measured by a TOC analyzer, and dominant organic ligands (carboxylic acids and phenolic groups), measured via acid-base titration. These water quality parameters strongly influence the speciation of the elements. Modeling chemical speciation:. The typical composition of landfill leachate will include inorganic ligands, such as hydroxide (OH^-), chloride (Cl^-), bicarbonate ??HCO??3^-), carbonate (CO_3^(2-)), ammonia (NH_3), sulfate (SO_4^(2-)) and phosphate (PO_4^(3-)), along with many organic ligands, particularly short chain carboxylic acids. We will model metal speciation with tools such as Visual MINTEQ or MINEQL+ and compare: greatest to least MT among the seven metals, comparisons of chemical speciation (uncomplexed versus complexed), and ranges of conditions (pH, redox, ionic strength). Analytical results from including measurement of various ligand concentrations, the pH, the ionic strength, and the MT, will enable detailed predictions of species and concentrations. The outcomes from this research will help with assessing the technical and economic feasibility of recovering critical elements and precious metals from MSW landfills.",West Lafayette,"Chemical Unit Operations, Ecology and Sustainability, Energy and Environment, Engineering the Built Environment, Environmental Characterization",No citizenship requirements,Environmental and Ecological Engineering Chemical Engineering Civil Engineering Biological Engineering - multiple concentrations Environmental and Natural Resources Engineering Chemistry Natural Resources and Environmental Science (multiple concentrations),Lyles School of Civil Engineering,Inez Hua,https://engineering.purdue.edu/EEE/AboutUs/News/2024/NSFCollaborativeResearchAward
Intelligent Undersea Network Systems,"The focus of this project is on developing algorithms for networked intelligence, surveillance and reconnaissance (ISR) systems that are specifically tailored for the challenges posted by adversarial undersea environments. Students participating in the program will work with a team of graduate students, postdocs, and professors towards achieving these goals. This includes investigating algorithms for (1) path planning and communications/networking among autonomous underwater vehicles (AUVs) and surface stations, and (2) distributed computation to allow the individual agents to parse locally gathered information into situational awareness. The student will gain a concrete understanding important contemporary undersea ISR applications, including monitoring choke points in maritime settings.",West Lafayette,"Big Data/Machine Learning, Internet of Things (IoT), Mobile Computing",No citizenship requirements,No Major Restriction Electrical Engineering Computer Engineering Mathematics Computer Science,Elmore Family School of Electrical and Computer Engineering,Christopher Brinton,https://www.cbrinton.net/
IoT sensor development for trailer monitoring,This project involves working with a partnering Korean company for IoT sensor development for temperature and sound monitoring of a trailer.,West Lafayette,"Fabrication and Robotics, Internet of Things (IoT)",No citizenship requirements,Mechanical Engineering Electrical Engineering,School of Mechanical Engineering,Martin Jun,N/A
Kagome embeddings on quantum hardware in search of new quantum phases of matter,"Kagome and Triangular lattices form the basis of a set of geometrically frustrated spin lattices where all the constraints of the Hamiltonian are not satisfied. This leads to unusual ground and excited states which show unique features such as magnetization plateaus and spin glass states. The problem becomes much more interesting in the quantum realm where quantum fluctuations adds to the frustration to lead to several new and exotic phases which are purely 'quantum', i.e. with no classical analog. These phases not only are of great interest to the condensed matter community as they are realized in real materials, but also in the quantum computing community as they help to benchmark the quantum hardware. In this project, we attempt to understand such interesting phases of matter using quantum computers accessible at Purdue University. We test the results against classical simulations to validate the result for small number of spins, and seek to unearth newer phases when the number of spins are larger. The goal of the project is to come up with predictions for Ising triangular lattices in a transverse field and deduce their phase transitions using quantum annealing and quenching in the pseudospin basis.",West Lafayette,Material Modeling and Simulation,No citizenship requirements,No Major Restriction,Physics and Astronomy,Arnab Banerjee,N/A
Large Language Models (LLMs) Fine-Tuning for Biological Engineering Education,"Objective: Fine-tune LLMs to enhance understanding of complex concepts. Key Tasks: 1.	Compile a comprehensive Biological Engineering Process Design related knowledge base 2.	Fine-tune open-source LLM using a curriculum learning approach 3.	Evaluate model performance on advanced evaluation tasks 4.	Compare with general-purpose LLMs and traditional teaching methods",West Lafayette,"Biological Simulation and Technology, Learning and Evaluation",No citizenship requirements,Agricultural Engineering Biological Engineering - multiple concentrations Food Science Pharmacy Biology,Agricultural and Biological Engineering Department,Dharmendra Saraswat,N/A
